Skill Code,Skill Category,Grade Level,Course Name,Skill Name
A.1,Numbers and counting up to 3,kindergarten,Math,Learn to count to 3
A.2,Numbers and counting up to 3,kindergarten,Math,Count to 3
A.3,Numbers and counting up to 3,kindergarten,Math,Count using stickers - up to 3
A.4,Numbers and counting up to 3,kindergarten,Math,Count on ten frames - up to 3
A.5,Numbers and counting up to 3,kindergarten,Math,Show numbers on ten frames - up to 3
A.6,Numbers and counting up to 3,kindergarten,Math,Represent numbers - up to 3
B.1,Numbers and counting up to 5,kindergarten,Math,Learn to count to 5
B.2,Numbers and counting up to 5,kindergarten,Math,Count to 5
B.3,Numbers and counting up to 5,kindergarten,Math,Count using stickers - up to 5
B.4,Numbers and counting up to 5,kindergarten,Math,Count on ten frames - up to 5
B.5,Numbers and counting up to 5,kindergarten,Math,Show numbers on ten frames - up to 5
B.6,Numbers and counting up to 5,kindergarten,Math,Represent numbers - up to 5
B.7,Numbers and counting up to 5,kindergarten,Math,One more - up to 5
B.8,Numbers and counting up to 5,kindergarten,Math,Count one more - up to 5
B.9,Numbers and counting up to 5,kindergarten,Math,One less - up to 5
B.10,Numbers and counting up to 5,kindergarten,Math,Count one less - up to 5
C.1,Numbers and counting up to 10,kindergarten,Math,Learn to count to 10
C.2,Numbers and counting up to 10,kindergarten,Math,Count to 10
C.3,Numbers and counting up to 10,kindergarten,Math,Count dots - up to 10
C.4,Numbers and counting up to 10,kindergarten,Math,Count blocks - up to 10
C.5,Numbers and counting up to 10,kindergarten,Math,Count using stickers - up to 10
C.6,Numbers and counting up to 10,kindergarten,Math,Count on ten frames - up to 10
C.7,Numbers and counting up to 10,kindergarten,Math,Show numbers on ten frames - up to 10
C.8,Numbers and counting up to 10,kindergarten,Math,Represent numbers - up to 10
C.9,Numbers and counting up to 10,kindergarten,Math,One more - up to 10
C.10,Numbers and counting up to 10,kindergarten,Math,Count one more - up to 10
C.11,Numbers and counting up to 10,kindergarten,Math,One less - up to 10
C.12,Numbers and counting up to 10,kindergarten,Math,Count one less - up to 10
C.13,Numbers and counting up to 10,kindergarten,Math,One more and one less - up to 10
C.14,Numbers and counting up to 10,kindergarten,Math,Count one more and one less - up to 10
C.15,Numbers and counting up to 10,kindergarten,Math,Count up - with numbers
C.16,Numbers and counting up to 10,kindergarten,Math,Count up and down - with numbers
C.17,Numbers and counting up to 10,kindergarten,Math,Count to fill a ten frame
C.18,Numbers and counting up to 10,kindergarten,Math,Tally marks - up to 10
C.19,Numbers and counting up to 10,kindergarten,Math,Number lines - up to 10
C.20,Numbers and counting up to 10,kindergarten,Math,"Before, after, and between - up to 10"
C.21,Numbers and counting up to 10,kindergarten,Math,Count forward - up to 10
C.22,Numbers and counting up to 10,kindergarten,Math,Count forward and backward - up to 10
C.23,Numbers and counting up to 10,kindergarten,Math,Names of numbers - up to 10
C.24,Numbers and counting up to 10,kindergarten,Math,Complete a sequence - up to 10
D.1,Numbers and counting up to 20,kindergarten,Math,Count to 20
D.2,Numbers and counting up to 20,kindergarten,Math,Count dots - 0 to 20
D.3,Numbers and counting up to 20,kindergarten,Math,Count on ten frames - up to 20
D.4,Numbers and counting up to 20,kindergarten,Math,Show numbers on ten frames - up to 20
D.5,Numbers and counting up to 20,kindergarten,Math,Represent numbers - up to 20
D.6,Numbers and counting up to 20,kindergarten,Math,Count up - up to 20
D.7,Numbers and counting up to 20,kindergarten,Math,Count up and down - up to 20
D.8,Numbers and counting up to 20,kindergarten,Math,Tally marks - up to 20
D.9,Numbers and counting up to 20,kindergarten,Math,Number lines - up to 20
D.10,Numbers and counting up to 20,kindergarten,Math,"Before, after, and between - up to 20"
D.11,Numbers and counting up to 20,kindergarten,Math,Count forward - up to 20
D.12,Numbers and counting up to 20,kindergarten,Math,Count forward and backward - up to 20
D.13,Numbers and counting up to 20,kindergarten,Math,Names of numbers - up to 20
D.14,Numbers and counting up to 20,kindergarten,Math,Complete a sequence - up to 20
D.15,Numbers and counting up to 20,kindergarten,Math,Count blocks - up to 20
D.16,Numbers and counting up to 20,kindergarten,Math,Count tens and ones - up to 20
D.17,Numbers and counting up to 20,kindergarten,Math,Write tens and ones - up to 20
E.1,Numbers and counting beyond 20,kindergarten,Math,Count on ten frames - up to 30
E.2,Numbers and counting beyond 20,kindergarten,Math,Count groups of ten
E.3,Numbers and counting beyond 20,kindergarten,Math,Count to 100
E.4,Numbers and counting beyond 20,kindergarten,Math,Counting on the hundred chart
E.5,Numbers and counting beyond 20,kindergarten,Math,Number lines - up to 30
E.6,Numbers and counting beyond 20,kindergarten,Math,Count blocks - up to 30
E.7,Numbers and counting beyond 20,kindergarten,Math,Count tens and ones - up to 30
E.8,Numbers and counting beyond 20,kindergarten,Math,Write tens and ones - up to 30
E.9,Numbers and counting beyond 20,kindergarten,Math,Count blocks - up to 100
F.1,Skip-counting,kindergarten,Math,Learn to skip-count by twos
F.2,Skip-counting,kindergarten,Math,Skip-count by twos
F.3,Skip-counting,kindergarten,Math,Skip-count by twos on ten frames
F.4,Skip-counting,kindergarten,Math,Learn to skip-count by fives
F.5,Skip-counting,kindergarten,Math,Skip-count by fives
F.6,Skip-counting,kindergarten,Math,Learn to skip-count by tens
F.7,Skip-counting,kindergarten,Math,Skip-count by tens
F.8,Skip-counting,kindergarten,Math,"Learn to skip-count by twos, fives, and tens"
F.9,Skip-counting,kindergarten,Math,"Skip-count by twos, fives, and tens"
G.1,Comparing,kindergarten,Math,Are there enough?
G.2,Comparing,kindergarten,Math,Fewer and more - compare by matching
G.3,Comparing,kindergarten,Math,Fewer and more - compare by counting
G.4,Comparing,kindergarten,Math,Fewer and more - compare in a mixed group
G.5,Comparing,kindergarten,Math,"Fewer, more, and same"
G.6,Comparing,kindergarten,Math,Compare two numbers - up to 10
G.7,Comparing,kindergarten,Math,Compare three numbers - up to 10
H.1,Patterns,kindergarten,Math,Color patterns
H.2,Patterns,kindergarten,Math,Size patterns
H.3,Patterns,kindergarten,Math,Shape patterns
H.4,Patterns,kindergarten,Math,Find the next shape in a pattern
H.5,Patterns,kindergarten,Math,Complete a pattern
H.6,Patterns,kindergarten,Math,Growing patterns
H.7,Patterns,kindergarten,Math,Find the next shape in a growing pattern
H.8,Patterns,kindergarten,Math,Find the next row in a growing pattern
I.1,Addition up to 5,kindergarten,Math,Add with pictures - sums up to 5
I.2,Addition up to 5,kindergarten,Math,Addition sentences - sums up to 5
I.3,Addition up to 5,kindergarten,Math,Add two numbers - sums up to 5
I.4,Addition up to 5,kindergarten,Math,Make a number using addition - sums up to 5
I.5,Addition up to 5,kindergarten,Math,Complete the addition sentence - sums up to 5
I.6,Addition up to 5,kindergarten,Math,Addition word problems - sums up to 5
J.1,Addition up to 10,kindergarten,Math,Add with pictures - sums up to 10
J.2,Addition up to 10,kindergarten,Math,Addition sentences - sums up to 10
J.3,Addition up to 10,kindergarten,Math,Add two numbers - sums up to 10
J.4,Addition up to 10,kindergarten,Math,Make a number using addition - sums up to 10
J.5,Addition up to 10,kindergarten,Math,Complete the addition sentence - make ten
J.6,Addition up to 10,kindergarten,Math,Complete the addition sentence - sums up to 10
J.7,Addition up to 10,kindergarten,Math,Write addition sentences
J.8,Addition up to 10,kindergarten,Math,Addition word problems - sums up to 10
K.1,Subtraction up to 5,kindergarten,Math,Subtract with pictures - numbers up to 5
K.2,Subtraction up to 5,kindergarten,Math,Subtraction sentences - numbers up to 5
K.3,Subtraction up to 5,kindergarten,Math,Subtract - numbers up to 5
K.4,Subtraction up to 5,kindergarten,Math,Complete the subtraction sentence - numbers up to 5
K.5,Subtraction up to 5,kindergarten,Math,Subtraction word problems - numbers up to 5
L.1,Subtraction up to 10,kindergarten,Math,Subtract with pictures - numbers up to 10
L.2,Subtraction up to 10,kindergarten,Math,Subtraction sentences - numbers up to 10
L.3,Subtraction up to 10,kindergarten,Math,Subtract - numbers up to 10
L.4,Subtraction up to 10,kindergarten,Math,Make a number using subtraction - numbers up to 10
L.5,Subtraction up to 10,kindergarten,Math,Complete the subtraction sentence - numbers up to 10
L.6,Subtraction up to 10,kindergarten,Math,Write subtraction sentences
L.7,Subtraction up to 10,kindergarten,Math,Subtraction word problems - numbers up to 10
M.1,Positions,kindergarten,Math,Inside and outside
M.2,Positions,kindergarten,Math,"Left, middle, and right"
M.3,Positions,kindergarten,Math,"Top, middle, and bottom"
M.4,Positions,kindergarten,Math,Location in a grid
M.5,Positions,kindergarten,Math,Above and below
M.6,Positions,kindergarten,Math,Above and below - find solid figures
M.7,Positions,kindergarten,Math,Beside and next to
M.8,Positions,kindergarten,Math,Beside and next to - find solid figures
N.1,Fractions,kindergarten,Math,Equal parts
N.2,Fractions,kindergarten,Math,"Identify halves, thirds, fourths"
O.1,Time,kindergarten,Math,Match digital clocks and times
O.2,Time,kindergarten,Math,Match analog clocks and times
O.3,Time,kindergarten,Math,Match analog and digital clocks
O.4,Time,kindergarten,Math,Read clocks and write times
O.5,Time,kindergarten,Math,A.M. or P.M.
O.6,Time,kindergarten,Math,Times of everyday events
O.7,Time,kindergarten,Math,Seasons
P.1,"Sorting, ordering, and classifying",kindergarten,Math,Different
P.2,"Sorting, ordering, and classifying",kindergarten,Math,Same
P.3,"Sorting, ordering, and classifying",kindergarten,Math,Same and different
P.4,"Sorting, ordering, and classifying",kindergarten,Math,Classify shapes by color
P.5,"Sorting, ordering, and classifying",kindergarten,Math,Classify and sort by color
P.6,"Sorting, ordering, and classifying",kindergarten,Math,Classify and sort by shape
P.7,"Sorting, ordering, and classifying",kindergarten,Math,Classify and sort
P.8,"Sorting, ordering, and classifying",kindergarten,Math,Count shapes in a Venn diagram
P.9,"Sorting, ordering, and classifying",kindergarten,Math,Sort shapes into a Venn diagram
P.10,"Sorting, ordering, and classifying",kindergarten,Math,Put numbers up to 10 in order
P.11,"Sorting, ordering, and classifying",kindergarten,Math,Put numbers up to 30 in order
Q.1,Data and graphs,kindergarten,Math,Making graphs
Q.2,Data and graphs,kindergarten,Math,Interpreting graphs
R.1,Probability,kindergarten,Math,More or less likely
S.1,Measurement,kindergarten,Math,Long and short
S.2,Measurement,kindergarten,Math,Tall and short
S.3,Measurement,kindergarten,Math,Light and heavy
S.4,Measurement,kindergarten,Math,Holds more or less
S.5,Measurement,kindergarten,Math,"Compare size, weight, and capacity"
S.6,Measurement,kindergarten,Math,Measure using objects
T.1,Money,kindergarten,Math,Coin names - penny through quarter
T.2,Money,kindergarten,Math,Coin values - penny through quarter
T.3,Money,kindergarten,Math,Count money - pennies only
T.4,Money,kindergarten,Math,Count money - pennies and nickels
T.5,Money,kindergarten,Math,Count money - pennies through dimes
T.6,Money,kindergarten,Math,Equivalent groups of coins - pennies through dimes
T.7,Money,kindergarten,Math,Exchanging groups of coins - pennies through dimes
T.8,Money,kindergarten,Math,Exchanging coins - pennies through dimes
T.9,Money,kindergarten,Math,Compare two groups of coins - pennies through dimes
U.1,Vocabulary,kindergarten,Math,Sum and difference
V.1,Two-dimensional shapes,kindergarten,Math,Name the two-dimensional shape
V.2,Two-dimensional shapes,kindergarten,Math,Circles
V.3,Two-dimensional shapes,kindergarten,Math,Squares and rectangles
V.4,Two-dimensional shapes,kindergarten,Math,Hexagons
V.5,Two-dimensional shapes,kindergarten,Math,Select two-dimensional shapes
V.6,Two-dimensional shapes,kindergarten,Math,Count sides and corners
V.7,Two-dimensional shapes,kindergarten,Math,Compare sides and corners
V.8,Two-dimensional shapes,kindergarten,Math,Introduction to symmetry
V.9,Two-dimensional shapes,kindergarten,Math,Identify pictures with symmetry
W.1,Three-dimensional shapes,kindergarten,Math,Two-dimensional and three-dimensional shapes
W.2,Three-dimensional shapes,kindergarten,Math,Name the three-dimensional shape
W.3,Three-dimensional shapes,kindergarten,Math,Spheres
W.4,Three-dimensional shapes,kindergarten,Math,Cubes
W.5,Three-dimensional shapes,kindergarten,Math,Cones
W.6,Three-dimensional shapes,kindergarten,Math,Cylinders
W.7,Three-dimensional shapes,kindergarten,Math,Select three-dimensional shapes
W.8,Three-dimensional shapes,kindergarten,Math,Identify shapes traced from solids
W.9,Three-dimensional shapes,kindergarten,Math,Shapes of everyday objects I
W.10,Three-dimensional shapes,kindergarten,Math,Shapes of everyday objects II
A.1,Counting and number patterns,grade-1,Math,Counting review - up to 10
A.2,Counting and number patterns,grade-1,Math,Count to fill a ten frame
A.3,Counting and number patterns,grade-1,Math,Counting review - up to 20
A.4,Counting and number patterns,grade-1,Math,Counting tens and ones - up to 20
A.5,Counting and number patterns,grade-1,Math,Count on ten frames - up to 40
A.6,Counting and number patterns,grade-1,Math,Counting by tens - up to 100
A.7,Counting and number patterns,grade-1,Math,Counting - up to 100
A.8,Counting and number patterns,grade-1,Math,Counting tens and ones - up to 99
A.9,Counting and number patterns,grade-1,Math,"Counting by twos, fives, and tens with pictures"
A.10,Counting and number patterns,grade-1,Math,"Counting by twos, fives, and tens"
A.11,Counting and number patterns,grade-1,Math,Counting forward and backward
A.12,Counting and number patterns,grade-1,Math,Number lines
A.13,Counting and number patterns,grade-1,Math,Counting on the hundred chart
A.14,Counting and number patterns,grade-1,Math,Hundred chart
A.15,Counting and number patterns,grade-1,Math,Even or odd
A.16,Counting and number patterns,grade-1,Math,Identify numbers as even or odd
A.17,Counting and number patterns,grade-1,Math,Even or odd numbers on number lines
A.18,Counting and number patterns,grade-1,Math,Which even or odd number comes before or after?
A.19,Counting and number patterns,grade-1,Math,Skip-counting patterns - with tables
A.20,Counting and number patterns,grade-1,Math,"Sequences - count up and down by 1, 2, 3, 5, and 10"
A.21,Counting and number patterns,grade-1,Math,Ordinal numbers
A.22,Counting and number patterns,grade-1,Math,Writing numbers in words
A.23,Counting and number patterns,grade-1,Math,"Roman numerals I, V, X"
B.1,Understand addition ,grade-1,Math,Add with pictures - sums up to 10
B.2,Understand addition ,grade-1,Math,Addition sentences - sums up to 10
B.3,Understand addition ,grade-1,Math,Addition sentences using number lines - sums up to 10
B.4,Understand addition ,grade-1,Math,Adding zero
C.1,Addition skill builders,grade-1,Math,Adding 1
C.2,Addition skill builders,grade-1,Math,Adding 2
C.3,Addition skill builders,grade-1,Math,Adding 3
C.4,Addition skill builders,grade-1,Math,Adding 4
C.5,Addition skill builders,grade-1,Math,Adding 5
C.6,Addition skill builders,grade-1,Math,Adding 6
C.7,Addition skill builders,grade-1,Math,Adding 7
C.8,Addition skill builders,grade-1,Math,Adding 8
C.9,Addition skill builders,grade-1,Math,Adding 9
C.10,Addition skill builders,grade-1,Math,Adding 0
D.1,Addition,grade-1,Math,Addition facts - sums up to 10
D.2,Addition,grade-1,Math,Make a number using addition - sums up to 10
D.3,Addition,grade-1,Math,Complete the addition sentence - sums up to 10
D.4,Addition,grade-1,Math,Ways to make a number - addition sentences
D.5,Addition,grade-1,Math,Addition word problems - sums up to 10
D.6,Addition,grade-1,Math,Addition sentences for word problems - sums up to 10
D.7,Addition,grade-1,Math,Addition sentences using number lines - sums up to 18
D.8,Addition,grade-1,Math,Addition facts - sums up to 18
D.9,Addition,grade-1,Math,Addition word problems - sums up to 18
D.10,Addition,grade-1,Math,Addition sentences for word problems - sums up to 18
D.11,Addition,grade-1,Math,Addition facts - sums up to 20
D.12,Addition,grade-1,Math,Make a number using addition - sums up to 20
D.13,Addition,grade-1,Math,Addition sentences for word problems - sums up to 20
D.14,Addition,grade-1,Math,Related addition facts
D.15,Addition,grade-1,Math,Addition sentences: true or false?
D.16,Addition,grade-1,Math,Add a one-digit number to a two-digit number - without regrouping
D.17,Addition,grade-1,Math,Regroup tens and ones - ways to make a number
D.18,Addition,grade-1,Math,Regroup tens and ones
D.19,Addition,grade-1,Math,Add a one-digit number to a two-digit number - with regrouping
E.1,Addition strategies,grade-1,Math,Add doubles - with models
E.2,Addition strategies,grade-1,Math,Add doubles
E.3,Addition strategies,grade-1,Math,Add doubles - complete the sentence
E.4,Addition strategies,grade-1,Math,Add using doubles plus one
E.5,Addition strategies,grade-1,Math,Add using doubles minus one
E.6,Addition strategies,grade-1,Math,Add three numbers - use doubles
E.7,Addition strategies,grade-1,Math,Complete the addition sentence - make ten
E.8,Addition strategies,grade-1,Math,Add three numbers - make ten
E.9,Addition strategies,grade-1,Math,Add two multiples of ten
E.10,Addition strategies,grade-1,Math,Add a multiple of ten
E.11,Addition strategies,grade-1,Math,Add three numbers
E.12,Addition strategies,grade-1,Math,Add three numbers - word problems
F.1,Understand subtraction ,grade-1,Math,Subtract with pictures - numbers up to 10
F.2,Understand subtraction ,grade-1,Math,Subtraction sentences - numbers up to 10
F.3,Understand subtraction ,grade-1,Math,Subtraction sentences using number lines - numbers up to 10
F.4,Understand subtraction ,grade-1,Math,Subtract zero and all
G.1,Subtraction skill builders,grade-1,Math,Subtracting 1
G.2,Subtraction skill builders,grade-1,Math,Subtracting 2
G.3,Subtraction skill builders,grade-1,Math,Subtracting 3
G.4,Subtraction skill builders,grade-1,Math,Subtracting 4
G.5,Subtraction skill builders,grade-1,Math,Subtracting 5
G.6,Subtraction skill builders,grade-1,Math,Subtracting 6
G.7,Subtraction skill builders,grade-1,Math,Subtracting 7
G.8,Subtraction skill builders,grade-1,Math,Subtracting 8
G.9,Subtraction skill builders,grade-1,Math,Subtracting 9
G.10,Subtraction skill builders,grade-1,Math,Subtracting 0
H.1,Subtraction,grade-1,Math,Subtraction facts - numbers up to 10
H.2,Subtraction,grade-1,Math,Make a number using subtraction - numbers up to 10
H.3,Subtraction,grade-1,Math,Ways to make a number - subtraction sentences
H.4,Subtraction,grade-1,Math,Ways to subtract from a number - subtraction sentences
H.5,Subtraction,grade-1,Math,Complete the subtraction sentence
H.6,Subtraction,grade-1,Math,Subtraction word problems - numbers up to 10
H.7,Subtraction,grade-1,Math,Subtraction sentences for word problems - numbers up to 10
H.8,Subtraction,grade-1,Math,Subtraction sentences using number lines - numbers up to 18
H.9,Subtraction,grade-1,Math,Subtraction facts - numbers up to 18
H.10,Subtraction,grade-1,Math,Subtraction word problems - numbers up to 18
H.11,Subtraction,grade-1,Math,Subtraction sentences for word problems - numbers up to 18
H.12,Subtraction,grade-1,Math,Make a number using subtraction - numbers up to 20
H.13,Subtraction,grade-1,Math,Related subtraction facts
H.14,Subtraction,grade-1,Math,Subtraction sentences: true or false?
H.15,Subtraction,grade-1,Math,Subtract one-digit numbers from two-digit numbers
I.1,Subtraction strategies,grade-1,Math,Relate addition and subtraction sentences
I.2,Subtraction strategies,grade-1,Math,Subtract doubles
I.3,Subtraction strategies,grade-1,Math,Subtract multiples of 10
I.4,Subtraction strategies,grade-1,Math,Subtract a multiple of 10
J.1,Mixed operations,grade-1,Math,Addition and subtraction - ways to make a number
J.2,Mixed operations,grade-1,Math,Which sign makes the number sentence true?
J.3,Mixed operations,grade-1,Math,Fact families
J.4,Mixed operations,grade-1,Math,Addition and subtraction facts - numbers up to 10
J.5,Mixed operations,grade-1,Math,Addition and subtraction facts - numbers up to 18
J.6,Mixed operations,grade-1,Math,Addition and subtraction word problems
J.7,Mixed operations,grade-1,Math,Addition and subtraction sentences: true or false?
J.8,Mixed operations,grade-1,Math,Ten more or less
J.9,Mixed operations,grade-1,Math,Add and subtract tens
J.10,Mixed operations,grade-1,Math,Addition and subtraction terms
K.1,Comparing,grade-1,Math,Comparing - review
K.2,Comparing,grade-1,Math,Comparing numbers up to 10
K.3,Comparing,grade-1,Math,Comparing numbers up to 100
K.4,Comparing,grade-1,Math,Comparison word problems
L.1,Estimation,grade-1,Math,Estimate to the nearest ten
M.1,Place values,grade-1,Math,Place value models up to 20
M.2,Place values,grade-1,Math,Write numbers as tens and ones up to 20
M.3,Place values,grade-1,Math,Place value models up to 100
M.4,Place values,grade-1,Math,Convert between tens and ones
M.5,Place values,grade-1,Math,Write numbers as tens and ones
N.1,Spatial sense,grade-1,Math,"Left, middle, and right"
N.2,Spatial sense,grade-1,Math,"Top, middle, and bottom"
N.3,Spatial sense,grade-1,Math,Location in a grid
N.4,Spatial sense,grade-1,Math,Above and below
N.5,Spatial sense,grade-1,Math,Beside and next to
O.1,Data and graphs,grade-1,Math,"Record data with tally charts, picture graphs, tables"
O.2,Data and graphs,grade-1,Math,"Interpret data in tally charts, picture graphs, tables"
O.3,Data and graphs,grade-1,Math,Interpret bar graphs I
O.4,Data and graphs,grade-1,Math,Interpret bar graphs II
O.5,Data and graphs,grade-1,Math,Which bar graph is correct?
P.1,Measurement,grade-1,Math,Read a thermometer
P.2,Measurement,grade-1,Math,Compare objects: length and height
P.3,Measurement,grade-1,Math,Measure using objects
P.4,Measurement,grade-1,Math,Measure using an inch ruler
P.5,Measurement,grade-1,Math,Which customary unit of length is appropriate?
P.6,Measurement,grade-1,Math,Customary units of length: word problems
P.7,Measurement,grade-1,Math,Which customary unit of weight is appropriate?
P.8,Measurement,grade-1,Math,"Compare and convert cups, pints, and quarts"
P.9,Measurement,grade-1,Math,Measure using a centimeter ruler
P.10,Measurement,grade-1,Math,Which metric unit of length is appropriate?
P.11,Measurement,grade-1,Math,Metric units of length: word problems
P.12,Measurement,grade-1,Math,Which metric unit of weight is appropriate?
Q.1,Money,grade-1,Math,Names and values of common coins
Q.2,Money,grade-1,Math,Names and values of all coins
Q.3,Money,grade-1,Math,"Count pennies, nickels, and dimes"
Q.4,Money,grade-1,Math,"Count pennies, nickels, dimes, and quarters"
Q.5,Money,grade-1,Math,Equivalent groups of coins
Q.6,Money,grade-1,Math,Exchanging coins
Q.7,Money,grade-1,Math,Money - word problems
Q.8,Money,grade-1,Math,Purchases: do you have enough money?
Q.9,Money,grade-1,Math,Compare money amounts
Q.10,Money,grade-1,Math,Least number of coins
R.1,Patterns,grade-1,Math,Introduction to patterns
R.2,Patterns,grade-1,Math,Find the next shape in a pattern
R.3,Patterns,grade-1,Math,Complete a pattern
R.4,Patterns,grade-1,Math,Make a pattern
R.5,Patterns,grade-1,Math,Growing patterns
R.6,Patterns,grade-1,Math,Find the next shape in a growing pattern
R.7,Patterns,grade-1,Math,Find the next row in a growing pattern
S.1,Probability and statistics,grade-1,Math,"More, less, and equally likely"
S.2,Probability and statistics,grade-1,Math,"Certain, probable, unlikely, and impossible"
S.3,Probability and statistics,grade-1,Math,Mode and range
T.1,"Sorting, ordering, and classifying",grade-1,Math,Count shapes in a Venn diagram
T.2,"Sorting, ordering, and classifying",grade-1,Math,Sort shapes into a Venn diagram
T.3,"Sorting, ordering, and classifying",grade-1,Math,Put numbers in order
U.1,Time,grade-1,Math,Match digital clocks and times
U.2,Time,grade-1,Math,Match analog clocks and times
U.3,Time,grade-1,Math,Match analog and digital clocks
U.4,Time,grade-1,Math,Read clocks and write times
U.5,Time,grade-1,Math,A.M. or P.M.
U.6,Time,grade-1,Math,Times of everyday events
U.7,Time,grade-1,Math,Compare clocks
U.8,Time,grade-1,Math,Time and clocks: word problems
U.9,Time,grade-1,Math,Days of the week
U.10,Time,grade-1,Math,Seasons of the year
U.11,Time,grade-1,Math,Months of the year
U.12,Time,grade-1,Math,Read a calendar
V.1,Two-dimensional shapes,grade-1,Math,Name the two-dimensional shape
V.2,Two-dimensional shapes,grade-1,Math,Select two-dimensional shapes
V.3,Two-dimensional shapes,grade-1,Math,Count sides and vertices
V.4,Two-dimensional shapes,grade-1,Math,Compare sides and vertices
V.5,Two-dimensional shapes,grade-1,Math,Open and closed shapes
V.6,Two-dimensional shapes,grade-1,Math,"Flip, turn, and slide"
V.7,Two-dimensional shapes,grade-1,Math,Symmetry
W.1,Three-dimensional shapes,grade-1,Math,Two-dimensional and three-dimensional shapes
W.2,Three-dimensional shapes,grade-1,Math,Name the three-dimensional shape
W.3,Three-dimensional shapes,grade-1,Math,Cubes and rectangular prisms
W.4,Three-dimensional shapes,grade-1,Math,Select three-dimensional shapes
